
-12985,-720,435
-13038,-714,475
-13017,-751,459
-13003,-750,466
-13009,-795,416
-13002,-750,411
-13015,-772,432
-13037,-741,431
-13022,-745,455
-13026,-685,423
-13041,-711,446
-13046,-728,397
-13086,-721,411
-13019,-766,449
-13024,-737,479
-13035,-730,449
-13002,-731,423
-12997,-753,440
-13044,-742,462
-13000,-750,391
-13020,-750,487
-13006,-748,423
-13018,-743,471
-13019,-730,467
-13032,-749,422
-13032,-741,423
-13050,-741,425
-13024,-731,437
-12993,-757,445
-13037,-717,426
-13023,-777,442
-13027,-753,449
-13012,-723,461
-13033,-748,467
-13032,-726,406
-13033,-731,418
-13040,-730,411
-12995,-748,466
-13044,-714,404
-13039,-715,484
-13024,-742,441
-13039,-777,460
-13004,-739,430
-13024,-740,427
-13004,-726,422
-12996,-713,470
-13042,-731,433
-13016,-723,424
-13016,-733,452
-13017,-723,446
-13011,-757,429
-13025,-706,427
-13025,-709,434
-13031,-734,453
-12999,-740,437
-13013,-724,461
-13058,-739,440
-12992,-727,460
-13037,-759,435
-12989,-743,436
-13012,-705,455
-13072,-707,406
-12978,-759,455
-13037,-723,452
-13010,-729,419
-13012,-739,483
-13040,-750,447
-13017,-716,446
-13034,-739,469
-13019,-714,451
-13016,-691,458
-13077,-741,460
-13013,-728,460
-13039,-747,452
-13033,-726,431
-12990,-755,435
-13041,-708,443
-13047,-730,435
-13009,-709,439
-13037,-721,432
-12991,-754,446
-13030,-726,452
-13011,-677,487
-13003,-729,459
-13052,-729,430
-13016,-767,465
-13021,-726,435
-13055,-721,445
-13005,-776,458
-13028,-734,456
-12998,-722,458
-13018,-730,491
-13010,-733,460
-13003,-706,450
-13029,-716,451
-13008,-761,465
-13036,-726,477
-13035,-723,427
-13025,-746,459
-13036,-734,437
-12995,-725,487
-13016,-702,516
-13055,-740,461
-13028,-716,474
-13032,-706,429
-13032,-752,427
-13017,-712,444
-13024,-709,443
-13004,-739,477
-13010,-728,454
-13014,-708,469
-13028,-735,472
-13047,-725,460
-12998,-744,430
-13032,-720,434
-13015,-745,459
-13012,-771,472
-13070,-745,462
-13008,-716,469
-13030,-713,460
-13007,-753,483
-13044,-728,462
-13022,-691,461
-13042,-720,488
-13047,-716,445
-13015,-770,478
-13010,-751,494
-13015,-718,496
-13032,-707,479
-13016,-702,446
-13068,-711,414
-13048,-723,447
-13032,-735,487
-13030,-744,473
-13007,-709,497
-13058,-747,471
-13012,-707,517
-13019,-722,470
-13028,-718,473
-13045,-725,459
-13039,-710,452
-13013,-710,494
-13035,-715,496
-13032,-725,443
-12993,-752,505
-13036,-719,489
-12988,-723,476
-12988,-710,472
-13044,-738,478
-13008,-721,480
-13021,-707,473
-13026,-756,458
-13008,-730,472
-13044,-767,439
-13004,-739,458
-13027,-725,465
-13018,-694,447
-12993,-750,462
-13059,-743,452
-13023,-730,472
-12986,-739,475
-13053,-733,445
-13023,-699,477
-13034,-704,463
-12994,-721,429
-13049,-695,447
-13018,-756,439
-12996,-736,475
-13052,-753,464
-12999,-775,475
-13034,-764,475
-13043,-723,443
-12991,-741,475
-13037,-741,438
-13057,-750,449
-13013,-751,461
-13035,-734,472
-12994,-754,482
-13051,-737,479
-13025,-750,459
-13022,-725,495
-13022,-788,485
-13043,-735,484
-13024,-715,471
-13013,-687,448
-13022,-698,461
-12991,-700,501
-13042,-737,482
-13011,-788,537
-13004,-761,501
-13036,-731,490
-13044,-704,425
-13023,-733,441
-13040,-733,428
-13023,-707,493
-13030,-734,449
-12993,-737,446
-13020,-717,451
-13000,-736,466
-13028,-711,498
-13043,-726,470
-13036,-705,433
-13043,-744,463
-13018,-724,489
-13007,-734,474
-13043,-743,454
-12993,-692,515
-13024,-717,472
-13010,-715,471
-13027,-719,469
-13031,-741,459
-13029,-718,489
-13042,-744,495
-13060,-742,476
-12991,-737,485
-13040,-743,465
-13033,-748,455
-13027,-726,480
-13048,-721,460
-13010,-741,441
-12996,-722,442
-13006,-752,490
-13002,-751,490
-12991,-733,482
-13008,-755,507
-13012,-734,519
-13007,-745,470
-13031,-721,461
-13067,-730,457
-13038,-731,479
-13024,-751,497
-12998,-771,502
-13052,-737,485
-13044,-678,443
-13053,-719,425
-13034,-710,473
-13048,-705,454
-13050,-705,505
-13043,-738,486
-13011,-708,491
-12978,-734,516
-12992,-732,490
-13046,-706,448
-13015,-723,459
-13023,-717,485
-12992,-727,491
-13048,-717,465
-13029,-723,483
-13004,-727,477
-13047,-728,482
-13028,-689,480
-13037,-701,492
-12999,-721,491
-12998,-734,487
-13022,-709,464
-13035,-700,472
-13063,-774,450
-13039,-726,464
-13019,-717,510
-13071,-731,473
-12998,-751,513
-13029,-764,474
-13049,-729,455
-13054,-748,465
-13035,-703,455
-13003,-721,510
-13009,-759,523
-12995,-707,464
-13016,-724,518
-12995,-710,451
-13051,-727,442
-13023,-704,494
-13029,-702,499
-13010,-705,497
-13049,-739,411
-13024,-723,522
-13000,-714,471
-13022,-742,487
-12993,-725,470
-13056,-754,478
-13077,-714,480
-13007,-746,482
-13026,-709,503
-13040,-720,468
-13019,-716,457
-12992,-724,517
-13010,-713,482
-13032,-737,499
-12995,-727,455
-13021,-727,492
-13004,-717,476
-12995,-753,517
-13020,-716,481
-13012,-720,504
-13036,-712,504
-13008,-728,496
-13007,-740,501
-12997,-727,488
-13010,-711,475
-13037,-741,454
-13045,-740,467
-13005,-760,484
-13021,-713,505
-13017,-715,524
-13021,-709,494
-13006,-731,443
-13016,-706,439
-13032,-691,463
-13011,-723,502
-13025,-710,438
-13026,-740,494
-13011,-704,467
-13035,-719,487
-12993,-718,489
-13026,-722,481
-13036,-694,477
-12999,-679,474
-13052,-727,524
-13010,-728,514
-13004,-713,459
-13062,-680,480
-13015,-746,471
-12998,-725,474
-12999,-750,479
-13043,-701,471
-13029,-722,520
-13021,-689,481
-13026,-717,490
-13014,-739,500
-12996,-716,480
-12991,-705,470
-13027,-722,537
-12990,-735,472
-13014,-704,441
-13050,-719,511
-13056,-749,469
-13022,-709,441
-13034,-715,518
-13046,-704,467
-13020,-739,475
-13033,-764,490
-12988,-721,484
-13002,-736,504
-13052,-670,497
-13013,-735,501
-13043,-710,482
-13068,-715,475
-13012,-735,512
-13050,-705,428
-13032,-739,477
-13026,-729,511
-13036,-742,499
-13005,-713,508
-13049,-726,465
-12982,-715,509
-12998,-726,513
-13042,-770,489
-12996,-718,517
-13018,-677,446
-13032,-703,494
-12985,-757,491
-13035,-750,499
-12970,-709,515
-12989,-750,528
-13028,-722,495
-13036,-737,474
-13014,-758,516
-13024,-736,470
-13049,-691,484
-12998,-750,482
-13003,-719,514
-13063,-701,493
-13022,-711,518
-12990,-757,481
-13031,-703,540
-13013,-745,472
-13059,-730,484
-13029,-710,454
-13016,-680,502
-13045,-749,508
-13023,-718,478
-13029,-700,505
-13043,-742,480
-12984,-715,469
-13039,-719,508
-13014,-741,497
-13043,-728,468
-13043,-712,502
-13002,-757,490
-13009,-757,512
-13009,-723,488
-13026,-716,496
-13028,-752,490
-13033,-747,508
-13045,-719,477
-13029,-737,499
-13037,-755,527
-13022,-706,524
-12993,-747,495
-13013,-700,477
-13017,-714,477
-13010,-741,521
-13026,-738,512
-13007,-717,491
-13041,-732,475
-13065,-747,489
-13009,-728,515
-13000,-747,501
-13011,-760,508
-13007,-752,486
-13024,-740,488
-13039,-698,489
-13028,-713,453
-13048,-738,508
-13003,-703,496
-13042,-709,505
-13009,-687,508
-12998,-724,508
-13019,-706,488
-13013,-704,503
-13018,-736,494
-13008,-748,514
-13041,-698,466
-13028,-744,460
-13015,-727,519
-12974,-722,475
-13042,-714,501
-12990,-713,435
-13027,-730,515
-12988,-701,497
-13025,-727,520
-13053,-747,537
-13027,-734,520
-13014,-714,517
-12995,-712,505
-13014,-727,498
-13019,-706,466
-13033,-715,487
-13042,-724,519
-13006,-686,506
-13034,-688,524
-13022,-730,535
-13038,-760,506
-12999,-717,522
-12999,-694,472
-13037,-715,489
-13015,-692,495
-13026,-691,501
-12992,-700,468
-13033,-695,517
-13024,-703,522
-12987,-697,535
-13012,-723,499
-13029,-727,504
-13026,-738,505
-13033,-746,510
-13023,-755,513
-13027,-731,519
-13024,-695,485
-13036,-718,555
-13047,-754,495
-13015,-730,501
-13018,-722,513
-13016,-735,531
-13041,-709,488
-13014,-716,472
-12989,-728,503
-13040,-690,489
-13029,-717,511
-13032,-732,555
-13009,-745,500
-12968,-721,517
-13062,-709,507
-13023,-695,506
-13032,-696,498
-13020,-728,529
-13033,-720,498
-13049,-711,491
-13020,-729,527
-13005,-690,514
-13042,-746,521
-12990,-733,533
-13042,-714,501
-13062,-734,518
-13016,-721,538
-13041,-721,495
-13021,-698,492
-13035,-759,503
-13015,-714,511
-13026,-693,505
-13055,-726,496
-13005,-754,534
-12991,-742,504
-13007,-720,507
-13005,-733,498
-13011,-714,513
-13023,-729,524
-13037,-702,490
-13002,-737,536
-13003,-710,492
-13010,-707,527
-13031,-706,525
-13032,-733,512
-13014,-710,538
-13024,-725,558
-13037,-715,506
-13014,-745,539
-13023,-734,527
-13014,-722,519
-12996,-728,533
-13032,-735,520
-13022,-701,541
-13053,-725,565
-13046,-710,492
-13028,-731,512
-13029,-713,547
-13041,-726,509
-13063,-678,523
-13029,-718,498
-12978,-734,554
-13026,-691,528
-13024,-736,517
-13013,-721,494
-13063,-704,503
-13003,-746,507
-13015,-692,540
-13015,-728,542
-13018,-736,519
-13063,-689,530
-13021,-732,521
-13014,-751,496
-13033,-731,521
-13033,-726,505
-13056,-718,494
-12994,-754,475
-13022,-728,522
-13017,-715,493
-13026,-750,542
-13041,-729,524
-13047,-689,516
-13019,-748,543
-13040,-709,484
-13013,-718,492
-13051,-727,489
-13019,-730,485
-13001,-712,519
-13028,-739,501
-12999,-744,515
-13022,-711,515
-13047,-703,527
-13006,-751,534
-13011,-715,488
