198
2616,-1032,-26205
2691,-1042,-26204
2617,-1017,-26185
2596,-974,-26185
2623,-980,-26192
2628,-1008,-26184
2627,-977,-26228
2615,-991,-26198
2632,-1012,-26188
2620,-1062,-26191
2647,-1043,-26205
2620,-1021,-26228
2603,-983,-26222
2635,-1018,-26209
2643,-1039,-26223
2622,-1010,-26216
2625,-993,-26204
2601,-994,-26202
2624,-1027,-26199
2645,-998,-26243
2611,-1031,-26217
2595,-1021,-26220
2620,-1018,-26240
2634,-1049,-26187
2625,-993,-26178
2616,-1025,-26206
2619,-1004,-26211
2606,-1036,-26215
2603,-1017,-26212
2602,-981,-26200
2590,-1015,-26180
2610,-1027,-26172
2626,-993,-26179
2609,-1041,-26257
2611,-986,-26194
2602,-992,-26241
2624,-975,-26230
2640,-993,-26202
2651,-1005,-26192
2644,-956,-26170
2601,-1028,-26215
2615,-980,-26213
2654,-1004,-26202
2651,-1000,-26195
2623,-1002,-26220
2622,-1050,-26211
2667,-1016,-26193
2633,-1010,-26212
2610,-1020,-26204
2631,-992,-26205
2587,-1005,-26240
2632,-1021,-26191
2606,-983,-26190
2627,-995,-26220
2611,-956,-26236
2602,-1034,-26207
2606,-976,-26159
2610,-996,-26185
2630,-989,-26202
2624,-974,-26205
2623,-978,-26193
2632,-995,-26221
2625,-1026,-26222
2625,-1017,-26211
2595,-1005,-26190
2630,-1007,-26200
2641,-1005,-26186
2635,-998,-26210
2629,-1017,-26206
2624,-1026,-26185
2596,-1001,-26208
2590,-996,-26201
2630,-1032,-26190
2646,-1019,-26167
2625,-1023,-26170
2602,-993,-26232
2609,-997,-26186
2590,-1018,-26189
2646,-987,-26228
2634,-1015,-26240
2653,-995,-26228
2634,-1041,-26207
2668,-990,-26186
2603,-1024,-26222
2608,-979,-26209
2597,-1016,-26208
2598,-998,-26255
2626,-1037,-26173
2625,-1017,-26191
2637,-1009,-26222
2650,-1002,-26242
2632,-1015,-26211
2609,-994,-26242
2606,-1015,-26168
2611,-1010,-26217
2623,-994,-26183
2629,-984,-26179
2622,-984,-26213
2630,-990,-26198
2634,-1008,-26227
2646,-1006,-26227
2600,-1012,-26196
2601,-1004,-26201
2646,-992,-26180
2626,-1049,-26205
2660,-961,-26210
2641,-1023,-26211
2621,-1007,-26198
2579,-1035,-26249
2621,-1006,-26250
2634,-994,-26193
2650,-999,-26188
2637,-1012,-26237
2615,-1040,-26178
2599,-1027,-26196
2611,-1025,-26225
2612,-1022,-26206
2606,-1017,-26208
2605,-994,-26211
2646,-996,-26175
2635,-1004,-26193
2612,-1041,-26206
2618,-994,-26207
2595,-1005,-26196
2584,-1003,-26248
2624,-1000,-26208
2643,-1036,-26240
2651,-1034,-26201
2603,-1067,-26185
2619,-992,-26184
2642,-983,-26226
2593,-990,-26224
2648,-986,-26185
2627,-1016,-26201
2612,-985,-26224
2631,-1002,-26181
2647,-979,-26203
2642,-993,-26240
2626,-1016,-26210
2596,-1061,-26221
2608,-1001,-26181
2637,-986,-26220
2633,-1018,-26258
2618,-986,-26203
2589,-997,-26220
2608,-1021,-26213
2650,-1026,-26208
2614,-960,-26180
2613,-1002,-26192
2595,-1020,-26191
2634,-965,-26209
2613,-960,-26247
2636,-981,-26199
2634,-970,-26228
2624,-1001,-26173
2662,-1048,-26191
2630,-1069,-26221
2589,-1003,-26207
2608,-996,-26207
2632,-982,-26201
2640,-971,-26205
2624,-1019,-26206
2644,-1022,-26179
2605,-1000,-26145
2604,-994,-26218
2630,-1050,-26178
2605,-998,-26192
2652,-1030,-26194
2631,-997,-26201
2598,-987,-26216
2646,-1023,-26214
2638,-1036,-26188
2642,-1010,-26232
2629,-1016,-26224
2627,-1036,-26235
2663,-1027,-26227
2641,-1017,-26216
2623,-983,-26164
2591,-973,-26208
2590,-1002,-26200
2596,-1049,-26230
2600,-1023,-26223
2620,-988,-26230
2628,-1004,-26230
2639,-980,-26225
2670,-1015,-26221
2590,-1017,-26208
2630,-1032,-26221
2610,-1024,-26206
2609,-1023,-26205
2654,-1013,-26208
2649,-984,-26197
2608,-999,-26240
2645,-1043,-26246
2648,-1019,-26196
2618,-988,-26173
2635,-1019,-26180
2633,-997,-26212
2658,-1015,-26206
2658,-1012,-26224
2615,-1046,-26215
2627,-1033,-26217
2607,-981,-26205
2626,-1006,-26232
2622,-1001,-26216
2634,-1025,-26230
2631,-1015,-26195
2621,-997,-26233
2647,-1016,-26180
2644,-1021,-26237
2628,-1014,-26228
2626,-976,-26210
2595,-969,-26250
2618,-995,-26210
2610,-1038,-26182
2628,-992,-26192
2632,-1004,-26250
2585,-984,-26260
2585,-1016,-26220
2635,-988,-26222
2625,-987,-26202
2636,-1008,-26188
2625,-972,-26156
2611,-1025,-26201
2592,-991,-26212
2612,-1001,-26219
2606,-1010,-26216
2615,-999,-26189
2629,-1034,-26210
2647,-987,-26225
2635,-995,-26196
2648,-999,-26189
2611,-990,-26178
2646,-987,-26225
2605,-990,-26212
2636,-1014,-26207
2639,-995,-26234
2625,-989,-26217
2648,-960,-26221
2634,-1045,-26185
2609,-1037,-26229
2625,-1046,-26242
